Ausgangsjahr,Gemeinde_BFS_Nr,Gemeindename,Stadtkreis_BFS_Nr,Stadtkreis_Name,Gesetz_Nummer,Gesetz_Abk,Tatbestand,Straftaten_total,Straftaten_vollendet,Straftaten_versucht,Einwohner,Häufigkeitszahl
2009,9,Mettmenstetten,,,311.0,StGB,Einbruchdiebstahl,8,6,2,4109.0,1.9
2009,9,Mettmenstetten,,,311.0,StGB,Einschleichdiebstahl,1,1,0,4109.0,0.2
2009,9,Mettmenstetten,,,311.0,StGB,Einbrüche insgesamt,9,7,2,4109.0,2.2
2009,155,Männedorf,,,311.0,StGB,Einbruchdiebstahl,80,56,24,10015.0,8.0
2009,155,Männedorf,,,311.0,StGB,Einschleichdiebstahl,8,8,0,10015.0,0.8
2009,155,Männedorf,,,311.0,StGB,Einbrüche insgesamt,88,64,24,10015.0,8.8
2009,196,Mönchaltorf,,,311.0,StGB,Einbruchdiebstahl,23,16,7,3375.0,6.8
2009,196,Mönchaltorf,,,311.0,StGB,Einschleichdiebstahl,7,7,0,3375.0,2.1
2009,196,Mönchaltorf,,,311.0,StGB,Einbrüche insgesamt,30,23,7,3375.0,8.9
2009,88,Neerach,,,311.0,StGB,Einbruchdiebstahl,13,9,4,2908.0,4.5
2009,88,Neerach,,,311.0,StGB,Einschleichdiebstahl,1,1,0,2908.0,0.3
2009,88,Neerach,,,311.0,StGB,Einbrüche insgesamt,14,10,4,2908.0,4.8
2009,223,Neftenbach,,,311.0,StGB,Einbruchdiebstahl,19,17,2,4882.0,3.9
2009,223,Neftenbach,,,311.0,StGB,Einschleichdiebstahl,3,2,1,4882.0,0.6
2009,223,Neftenbach,,,311.0,StGB,Einbrüche insgesamt,22,19,3,4882.0,4.5
2009,89,Niederglatt,,,311.0,StGB,Einbruchdiebstahl,26,18,8,4467.0,5.8
2009,89,Niederglatt,,,311.0,StGB,Einschleichdiebstahl,6,6,0,4467.0,1.3
2009,89,Niederglatt,,,311.0,StGB,Einbrüche insgesamt,32,24,8,4467.0,7.2
2009,90,Niederhasli,,,311.0,StGB,Einbruchdiebstahl,94,63,31,8294.0,11.3
2009,90,Niederhasli,,,311.0,StGB,Einschleichdiebstahl,26,26,0,8294.0,3.1
2009,90,Niederhasli,,,311.0,StGB,Einbrüche insgesamt,120,89,31,8294.0,14.5
2009,91,Niederweningen,,,311.0,StGB,Einbruchdiebstahl,15,10,5,2652.0,5.7
2009,91,Niederweningen,,,311.0,StGB,Einschleichdiebstahl,2,1,1,2652.0,0.8
2009,91,Niederweningen,,,311.0,StGB,Einbrüche insgesamt,17,11,6,2652.0,6.4
2009,64,Nürensdorf,,,311.0,StGB,Einbruchdiebstahl,29,17,12,4953.0,5.9
2009,64,Nürensdorf,,,311.0,StGB,Einschleichdiebstahl,2,2,0,4953.0,0.4
2009,64,Nürensdorf,,,311.0,StGB,Einbrüche insgesamt,31,19,12,4953.0,6.3
